TYPE,YEAR,MONTH,Observations,YEAR-MONTH
Other Theft,2007,3,815,2007-03-01
Other Theft,2007,4,806,2007-04-01
Other Theft,2007,5,805,2007-05-01
Other Theft,2007,6,808,2007-06-01
Other Theft,2007,7,852,2007-07-01
Other Theft,2007,8,980,2007-08-01
Other Theft,2007,9,858,2007-09-01
Other Theft,2007,10,826,2007-10-01
Other Theft,2007,11,695,2007-11-01
Other Theft,2007,12,721,2007-12-01
Other Theft,2008,1,779,2008-01-01
Other Theft,2008,2,724,2008-02-01
Other Theft,2008,3,770,2008-03-01
Other Theft,2008,4,768,2008-04-01
Other Theft,2008,5,840,2008-05-01
Other Theft,2008,6,826,2008-06-01
Other Theft,2008,7,797,2008-07-01
Other Theft,2008,8,869,2008-08-01
Other Theft,2008,9,859,2008-09-01
Other Theft,2008,10,815,2008-10-01
Other Theft,2008,11,727,2008-11-01
Other Theft,2008,12,689,2008-12-01
Other Theft,2009,1,723,2009-01-01
Other Theft,2009,2,760,2009-02-01
Other Theft,2009,3,873,2009-03-01
Other Theft,2009,4,790,2009-04-01
Other Theft,2009,5,795,2009-05-01
Other Theft,2009,6,827,2009-06-01
Other Theft,2009,7,804,2009-07-01
Other Theft,2009,8,839,2009-08-01
Other Theft,2009,9,773,2009-09-01
Other Theft,2009,10,807,2009-10-01
Other Theft,2009,11,741,2009-11-01
Other Theft,2009,12,737,2009-12-01
Other Theft,2010,1,775,2010-01-01
Other Theft,2010,2,860,2010-02-01
Other Theft,2010,3,861,2010-03-01
Other Theft,2010,4,795,2010-04-01
Other Theft,2010,5,801,2010-05-01
Other Theft,2010,6,792,2010-06-01
Other Theft,2010,7,844,2010-07-01
Other Theft,2010,8,838,2010-08-01
Other Theft,2010,9,753,2010-09-01
Other Theft,2010,10,712,2010-10-01
Other Theft,2010,11,651,2010-11-01
Other Theft,2010,12,684,2010-12-01
Other Theft,2011,1,734,2011-01-01
Other Theft,2011,2,668,2011-02-01
Other Theft,2011,3,796,2011-03-01
Other Theft,2011,4,770,2011-04-01
Other Theft,2011,5,781,2011-05-01
Other Theft,2011,6,870,2011-06-01
Other Theft,2011,7,825,2011-07-01
Other Theft,2011,8,858,2011-08-01
Other Theft,2011,9,754,2011-09-01
Other Theft,2011,10,744,2011-10-01
Other Theft,2011,11,825,2011-11-01
Other Theft,2011,12,764,2011-12-01
Other Theft,2012,1,777,2012-01-01
Other Theft,2012,2,761,2012-02-01
Other Theft,2012,3,782,2012-03-01
Other Theft,2012,4,811,2012-04-01
Other Theft,2012,5,866,2012-05-01
Other Theft,2012,6,930,2012-06-01
Other Theft,2012,7,845,2012-07-01
Other Theft,2012,8,861,2012-08-01
Other Theft,2012,9,860,2012-09-01
Other Theft,2012,10,831,2012-10-01
Other Theft,2012,11,880,2012-11-01
Other Theft,2012,12,756,2012-12-01
Other Theft,2013,1,836,2013-01-01
Other Theft,2013,2,729,2013-02-01
Other Theft,2013,3,857,2013-03-01
Other Theft,2013,4,762,2013-04-01
Other Theft,2013,5,938,2013-05-01
Other Theft,2013,6,993,2013-06-01
Other Theft,2013,7,920,2013-07-01
Other Theft,2013,8,909,2013-08-01
Other Theft,2013,9,846,2013-09-01
Other Theft,2013,10,855,2013-10-01
Other Theft,2013,11,785,2013-11-01
Other Theft,2013,12,834,2013-12-01
Other Theft,2014,1,838,2014-01-01
Other Theft,2014,2,794,2014-02-01
Other Theft,2014,3,911,2014-03-01
Other Theft,2014,4,810,2014-04-01
Other Theft,2014,5,981,2014-05-01
Other Theft,2014,6,933,2014-06-01
Other Theft,2014,7,930,2014-07-01
Other Theft,2014,8,1044,2014-08-01
Other Theft,2014,9,922,2014-09-01
Other Theft,2014,10,917,2014-10-01
Other Theft,2014,11,900,2014-11-01
Other Theft,2014,12,814,2014-12-01
Other Theft,2015,1,857,2015-01-01
Other Theft,2015,2,826,2015-02-01
Other Theft,2015,3,889,2015-03-01
Other Theft,2015,4,847,2015-04-01
Other Theft,2015,5,893,2015-05-01
Other Theft,2015,6,877,2015-06-01
Other Theft,2015,7,944,2015-07-01
Other Theft,2015,8,942,2015-08-01
Other Theft,2015,9,862,2015-09-01
Other Theft,2015,10,934,2015-10-01
Other Theft,2015,11,875,2015-11-01
Other Theft,2015,12,852,2015-12-01
Other Theft,2016,1,985,2016-01-01
Other Theft,2016,2,910,2016-02-01
Other Theft,2016,3,1047,2016-03-01
Other Theft,2016,4,1010,2016-04-01
Other Theft,2016,5,1045,2016-05-01
Other Theft,2016,6,1049,2016-06-01
Other Theft,2016,7,1073,2016-07-01
Other Theft,2016,8,1108,2016-08-01
Other Theft,2016,9,977,2016-09-01
Other Theft,2016,10,1085,2016-10-01
Other Theft,2016,11,877,2016-11-01
Other Theft,2016,12,813,2016-12-01
Other Theft,2017,1,815,2017-01-01
Other Theft,2017,2,902,2017-02-01
Other Theft,2017,3,994,2017-03-01
Other Theft,2017,4,984,2017-04-01
Other Theft,2017,5,1009,2017-05-01
Other Theft,2017,6,1038,2017-06-01
Other Theft,2017,7,1088,2017-07-01
Other Theft,2017,8,985,2017-08-01
Other Theft,2017,9,1039,2017-09-01
Other Theft,2017,10,967,2017-10-01
Other Theft,2017,11,988,2017-11-01
Other Theft,2017,12,1000,2017-12-01
Other Theft,2018,1,1021,2018-01-01
Other Theft,2018,2,842,2018-02-01
Other Theft,2018,3,1015,2018-03-01
Other Theft,2018,4,988,2018-04-01
Other Theft,2018,5,951,2018-05-01
Other Theft,2018,6,961,2018-06-01
Other Theft,2018,7,953,2018-07-01
Other Theft,2018,8,1000,2018-08-01
Other Theft,2018,9,921,2018-09-01
Other Theft,2018,10,914,2018-10-01
Other Theft,2018,11,843,2018-11-01
Other Theft,2018,12,842,2018-12-01
Other Theft,2019,1,935,2019-01-01
Other Theft,2019,2,884,2019-02-01
Other Theft,2019,3,1046,2019-03-01
Other Theft,2019,4,1029,2019-04-01
Other Theft,2019,5,1044,2019-05-01
Other Theft,2019,6,992,2019-06-01
Other Theft,2019,7,1056,2019-07-01
Other Theft,2019,8,1133,2019-08-01
Other Theft,2019,9,1021,2019-09-01
Other Theft,2019,10,1090,2019-10-01
Other Theft,2019,11,1062,2019-11-01
Other Theft,2019,12,1030,2019-12-01
Other Theft,2020,1,1030,2020-01-01
Other Theft,2020,2,1030,2020-02-01
Other Theft,2020,3,875,2020-03-01
Other Theft,2020,4,529,2020-04-01
Other Theft,2020,5,420,2020-05-01
Other Theft,2020,6,527,2020-06-01
Other Theft,2020,7,673,2020-07-01
Other Theft,2020,8,722,2020-08-01
Other Theft,2020,9,651,2020-09-01
Other Theft,2020,10,787,2020-10-01
Other Theft,2020,11,713,2020-11-01
Other Theft,2020,12,690,2020-12-01
Other Theft,2021,1,756,2021-01-01
Other Theft,2021,2,643,2021-02-01
Other Theft,2021,3,598,2021-03-01
Other Theft,2021,4,596,2021-04-01
Other Theft,2021,5,649,2021-05-01
Other Theft,2021,6,678,2021-06-01
Other Theft,2021,7,775,2021-07-01
Other Theft,2021,8,785,2021-08-01
Other Theft,2021,9,696,2021-09-01
Other Theft,2021,10,727,2021-10-01
Other Theft,2021,11,892,2021-11-01
Other Theft,2021,12,788,2021-12-01
Other Theft,2022,1,821,2022-01-01
Other Theft,2022,2,778,2022-02-01
Other Theft,2022,3,930,2022-03-01
Other Theft,2022,4,960,2022-04-01
Other Theft,2022,5,920,2022-05-01
Other Theft,2022,6,858,2022-06-01
Other Theft,2022,7,991,2022-07-01
Other Theft,2022,8,995,2022-08-01
Other Theft,2022,9,925,2022-09-01
Other Theft,2022,10,930,2022-10-01
Other Theft,2022,11,818,2022-11-01
Other Theft,2022,12,827,2022-12-01
Other Theft,2023,1,831,2023-01-01
Other Theft,2023,2,1072,2023-02-01
Other Theft,2023,3,1028,2023-03-01
Other Theft,2023,4,953,2023-04-01
Other Theft,2023,5,1115,2023-05-01
Other Theft,2023,6,1242,2023-06-01
Other Theft,2023,7,1160,2023-07-01
Other Theft,2023,8,1154,2023-08-01
Other Theft,2023,9,1116,2023-09-01
Other Theft,2023,10,994,2023-10-01
Theft from Vehicle,2003,1,1438,2003-01-01
Theft from Vehicle,2003,2,1102,2003-02-01
Theft from Vehicle,2003,3,1251,2003-03-01
Theft from Vehicle,2003,4,1528,2003-04-01
Theft from Vehicle,2003,5,1873,2003-05-01
Theft from Vehicle,2003,6,1695,2003-06-01
Theft from Vehicle,2003,7,1445,2003-07-01
Theft from Vehicle,2003,8,1634,2003-08-01
Theft from Vehicle,2003,9,1470,2003-09-01
Theft from Vehicle,2003,10,1554,2003-10-01
Theft from Vehicle,2003,11,1332,2003-11-01
Theft from Vehicle,2003,12,1422,2003-12-01
Theft from Vehicle,2004,1,1319,2004-01-01
Theft from Vehicle,2004,2,1276,2004-02-01
Theft from Vehicle,2004,3,1523,2004-03-01
Theft from Vehicle,2004,4,1558,2004-04-01
Theft from Vehicle,2004,5,1494,2004-05-01
Theft from Vehicle,2004,6,1335,2004-06-01
Theft from Vehicle,2004,7,1426,2004-07-01
Theft from Vehicle,2004,8,1677,2004-08-01
Theft from Vehicle,2004,9,1743,2004-09-01
Theft from Vehicle,2004,10,1650,2004-10-01
Theft from Vehicle,2004,11,1689,2004-11-01
Theft from Vehicle,2004,12,1512,2004-12-01
Theft from Vehicle,2005,1,1516,2005-01-01
Theft from Vehicle,2005,2,1305,2005-02-01
Theft from Vehicle,2005,3,1408,2005-03-01
Theft from Vehicle,2005,4,1563,2005-04-01
Theft from Vehicle,2005,5,1530,2005-05-01
Theft from Vehicle,2005,6,1426,2005-06-01
Theft from Vehicle,2005,7,1323,2005-07-01
Theft from Vehicle,2005,8,1362,2005-08-01
Theft from Vehicle,2005,9,1316,2005-09-01
Theft from Vehicle,2005,10,1261,2005-10-01
Theft from Vehicle,2005,11,1271,2005-11-01
Theft from Vehicle,2005,12,1272,2005-12-01
Theft from Vehicle,2006,1,1492,2006-01-01
Theft from Vehicle,2006,2,1125,2006-02-01
Theft from Vehicle,2006,3,1326,2006-03-01
Theft from Vehicle,2006,4,1006,2006-04-01
Theft from Vehicle,2006,5,1197,2006-05-01
Theft from Vehicle,2006,6,1239,2006-06-01
Theft from Vehicle,2006,7,1206,2006-07-01
Theft from Vehicle,2006,8,1227,2006-08-01
Theft from Vehicle,2006,9,1178,2006-09-01
Theft from Vehicle,2006,10,1116,2006-10-01
Theft from Vehicle,2006,11,1313,2006-11-01
Theft from Vehicle,2006,12,1305,2006-12-01
Theft from Vehicle,2007,1,1307,2007-01-01
Theft from Vehicle,2007,2,966,2007-02-01
Theft from Vehicle,2007,3,1048,2007-03-01
Theft from Vehicle,2007,4,1048,2007-04-01
Theft from Vehicle,2007,5,1037,2007-05-01
Theft from Vehicle,2007,6,950,2007-06-01
Theft from Vehicle,2007,7,933,2007-07-01
Theft from Vehicle,2007,8,1107,2007-08-01
Theft from Vehicle,2007,9,1078,2007-09-01
Theft from Vehicle,2007,10,1025,2007-10-01
Theft from Vehicle,2007,11,911,2007-11-01
Theft from Vehicle,2007,12,817,2007-12-01
Theft from Vehicle,2008,1,781,2008-01-01
Theft from Vehicle,2008,2,867,2008-02-01
Theft from Vehicle,2008,3,1061,2008-03-01
Theft from Vehicle,2008,4,888,2008-04-01
Theft from Vehicle,2008,5,919,2008-05-01
Theft from Vehicle,2008,6,1017,2008-06-01
Theft from Vehicle,2008,7,875,2008-07-01
Theft from Vehicle,2008,8,943,2008-08-01
Theft from Vehicle,2008,9,1000,2008-09-01
Theft from Vehicle,2008,10,1016,2008-10-01
Theft from Vehicle,2008,11,972,2008-11-01
Theft from Vehicle,2008,12,956,2008-12-01
Theft from Vehicle,2009,1,897,2009-01-01
Theft from Vehicle,2009,2,972,2009-02-01
Theft from Vehicle,2009,3,842,2009-03-01
Theft from Vehicle,2009,4,747,2009-04-01
Theft from Vehicle,2009,5,817,2009-05-01
Theft from Vehicle,2009,6,803,2009-06-01
Theft from Vehicle,2009,7,799,2009-07-01
Theft from Vehicle,2009,8,871,2009-08-01
Theft from Vehicle,2009,9,927,2009-09-01
Theft from Vehicle,2009,10,806,2009-10-01
Theft from Vehicle,2009,11,831,2009-11-01
Theft from Vehicle,2009,12,696,2009-12-01
Theft from Vehicle,2010,1,709,2010-01-01
Theft from Vehicle,2010,2,627,2010-02-01
Theft from Vehicle,2010,3,714,2010-03-01
Theft from Vehicle,2010,4,599,2010-04-01
Theft from Vehicle,2010,5,677,2010-05-01
Theft from Vehicle,2010,6,675,2010-06-01
Theft from Vehicle,2010,7,685,2010-07-01
Theft from Vehicle,2010,8,793,2010-08-01
Theft from Vehicle,2010,9,833,2010-09-01
Theft from Vehicle,2010,10,915,2010-10-01
Theft from Vehicle,2010,11,725,2010-11-01
Theft from Vehicle,2010,12,662,2010-12-01
Theft from Vehicle,2011,1,628,2011-01-01
Theft from Vehicle,2011,2,680,2011-02-01
Theft from Vehicle,2011,3,605,2011-03-01
Theft from Vehicle,2011,4,510,2011-04-01
Theft from Vehicle,2011,5,608,2011-05-01
Theft from Vehicle,2011,6,520,2011-06-01
Theft from Vehicle,2011,7,749,2011-07-01
Theft from Vehicle,2011,8,678,2011-08-01
Theft from Vehicle,2011,9,671,2011-09-01
Theft from Vehicle,2011,10,589,2011-10-01
Theft from Vehicle,2011,11,568,2011-11-01
Theft from Vehicle,2011,12,628,2011-12-01
Theft from Vehicle,2012,1,665,2012-01-01
Theft from Vehicle,2012,2,661,2012-02-01
Theft from Vehicle,2012,3,733,2012-03-01
Theft from Vehicle,2012,4,758,2012-04-01
Theft from Vehicle,2012,5,597,2012-05-01
Theft from Vehicle,2012,6,627,2012-06-01
Theft from Vehicle,2012,7,599,2012-07-01
Theft from Vehicle,2012,8,736,2012-08-01
Theft from Vehicle,2012,9,638,2012-09-01
Theft from Vehicle,2012,10,639,2012-10-01
Theft from Vehicle,2012,11,802,2012-11-01
Theft from Vehicle,2012,12,641,2012-12-01
Theft from Vehicle,2013,1,516,2013-01-01
Theft from Vehicle,2013,2,496,2013-02-01
Theft from Vehicle,2013,3,641,2013-03-01
Theft from Vehicle,2013,4,720,2013-04-01
Theft from Vehicle,2013,5,754,2013-05-01
Theft from Vehicle,2013,6,667,2013-06-01
Theft from Vehicle,2013,7,677,2013-07-01
Theft from Vehicle,2013,8,683,2013-08-01
Theft from Vehicle,2013,9,668,2013-09-01
Theft from Vehicle,2013,10,813,2013-10-01
Theft from Vehicle,2013,11,891,2013-11-01
Theft from Vehicle,2013,12,807,2013-12-01
Theft from Vehicle,2014,1,718,2014-01-01
Theft from Vehicle,2014,2,603,2014-02-01
Theft from Vehicle,2014,3,682,2014-03-01
Theft from Vehicle,2014,4,664,2014-04-01
Theft from Vehicle,2014,5,859,2014-05-01
Theft from Vehicle,2014,6,845,2014-06-01
Theft from Vehicle,2014,7,1016,2014-07-01
Theft from Vehicle,2014,8,1103,2014-08-01
Theft from Vehicle,2014,9,1042,2014-09-01
Theft from Vehicle,2014,10,963,2014-10-01
Theft from Vehicle,2014,11,822,2014-11-01
Theft from Vehicle,2014,12,823,2014-12-01
Theft from Vehicle,2015,1,861,2015-01-01
Theft from Vehicle,2015,2,723,2015-02-01
Theft from Vehicle,2015,3,705,2015-03-01
Theft from Vehicle,2015,4,780,2015-04-01
Theft from Vehicle,2015,5,773,2015-05-01
Theft from Vehicle,2015,6,718,2015-06-01
Theft from Vehicle,2015,7,912,2015-07-01
Theft from Vehicle,2015,8,822,2015-08-01
Theft from Vehicle,2015,9,853,2015-09-01
Theft from Vehicle,2015,10,1033,2015-10-01
Theft from Vehicle,2015,11,1215,2015-11-01
Theft from Vehicle,2015,12,1151,2015-12-01
Theft from Vehicle,2016,1,1264,2016-01-01
Theft from Vehicle,2016,2,1017,2016-02-01
Theft from Vehicle,2016,3,1143,2016-03-01
Theft from Vehicle,2016,4,1062,2016-04-01
Theft from Vehicle,2016,5,1183,2016-05-01
Theft from Vehicle,2016,6,1090,2016-06-01
Theft from Vehicle,2016,7,1156,2016-07-01
Theft from Vehicle,2016,8,1003,2016-08-01
Theft from Vehicle,2016,9,985,2016-09-01
Theft from Vehicle,2016,10,1091,2016-10-01
Theft from Vehicle,2016,11,943,2016-11-01
Theft from Vehicle,2016,12,877,2016-12-01
Theft from Vehicle,2017,1,841,2017-01-01
Theft from Vehicle,2017,2,756,2017-02-01
Theft from Vehicle,2017,3,990,2017-03-01
Theft from Vehicle,2017,4,961,2017-04-01
Theft from Vehicle,2017,5,992,2017-05-01
Theft from Vehicle,2017,6,1058,2017-06-01
Theft from Vehicle,2017,7,1098,2017-07-01
Theft from Vehicle,2017,8,1209,2017-08-01
Theft from Vehicle,2017,9,1186,2017-09-01
Theft from Vehicle,2017,10,1313,2017-10-01
Theft from Vehicle,2017,11,1300,2017-11-01
Theft from Vehicle,2017,12,1253,2017-12-01
Theft from Vehicle,2018,1,1359,2018-01-01
Theft from Vehicle,2018,2,1112,2018-02-01
Theft from Vehicle,2018,3,1137,2018-03-01
Theft from Vehicle,2018,4,1261,2018-04-01
Theft from Vehicle,2018,5,1151,2018-05-01
Theft from Vehicle,2018,6,1174,2018-06-01
Theft from Vehicle,2018,7,1079,2018-07-01
Theft from Vehicle,2018,8,1250,2018-08-01
Theft from Vehicle,2018,9,1291,2018-09-01
Theft from Vehicle,2018,10,1262,2018-10-01
Theft from Vehicle,2018,11,1396,2018-11-01
Theft from Vehicle,2018,12,1524,2018-12-01
Theft from Vehicle,2019,1,1544,2019-01-01
Theft from Vehicle,2019,2,1115,2019-02-01
Theft from Vehicle,2019,3,1282,2019-03-01
Theft from Vehicle,2019,4,1321,2019-04-01
Theft from Vehicle,2019,5,1454,2019-05-01
Theft from Vehicle,2019,6,1306,2019-06-01
Theft from Vehicle,2019,7,1506,2019-07-01
Theft from Vehicle,2019,8,1536,2019-08-01
Theft from Vehicle,2019,9,1626,2019-09-01
Theft from Vehicle,2019,10,1642,2019-10-01
Theft from Vehicle,2019,11,1405,2019-11-01
Theft from Vehicle,2019,12,1269,2019-12-01
Theft from Vehicle,2020,1,1350,2020-01-01
Theft from Vehicle,2020,2,1263,2020-02-01
Theft from Vehicle,2020,3,1164,2020-03-01
Theft from Vehicle,2020,4,943,2020-04-01
Theft from Vehicle,2020,5,556,2020-05-01
Theft from Vehicle,2020,6,534,2020-06-01
Theft from Vehicle,2020,7,687,2020-07-01
Theft from Vehicle,2020,8,848,2020-08-01
Theft from Vehicle,2020,9,844,2020-09-01
Theft from Vehicle,2020,10,870,2020-10-01
Theft from Vehicle,2020,11,685,2020-11-01
Theft from Vehicle,2020,12,686,2020-12-01
Theft from Vehicle,2021,1,711,2021-01-01
Theft from Vehicle,2021,2,565,2021-02-01
Theft from Vehicle,2021,3,546,2021-03-01
Theft from Vehicle,2021,4,526,2021-04-01
Theft from Vehicle,2021,5,602,2021-05-01
Theft from Vehicle,2021,6,562,2021-06-01
Theft from Vehicle,2021,7,691,2021-07-01
Theft from Vehicle,2021,8,735,2021-08-01
Theft from Vehicle,2021,9,716,2021-09-01
Theft from Vehicle,2021,10,630,2021-10-01
Theft from Vehicle,2021,11,633,2021-11-01
Theft from Vehicle,2021,12,584,2021-12-01
Theft from Vehicle,2022,1,593,2022-01-01
Theft from Vehicle,2022,2,541,2022-02-01
Theft from Vehicle,2022,3,697,2022-03-01
Theft from Vehicle,2022,4,667,2022-04-01
Theft from Vehicle,2022,5,602,2022-05-01
Theft from Vehicle,2022,6,640,2022-06-01
Theft from Vehicle,2022,7,574,2022-07-01
Theft from Vehicle,2022,8,621,2022-08-01
Theft from Vehicle,2022,9,680,2022-09-01
Theft from Vehicle,2022,10,655,2022-10-01
Theft from Vehicle,2022,11,497,2022-11-01
Theft from Vehicle,2022,12,509,2022-12-01
Theft from Vehicle,2023,1,644,2023-01-01
Theft from Vehicle,2023,2,495,2023-02-01
Theft from Vehicle,2023,3,651,2023-03-01
Theft from Vehicle,2023,4,547,2023-04-01
Theft from Vehicle,2023,5,611,2023-05-01
Theft from Vehicle,2023,6,645,2023-06-01
Theft from Vehicle,2023,7,684,2023-07-01
Theft from Vehicle,2023,8,749,2023-08-01
Theft from Vehicle,2023,9,651,2023-09-01
Theft from Vehicle,2023,10,656,2023-10-01
Theft of Bicycle,2003,1,96,2003-01-01
Theft of Bicycle,2003,2,71,2003-02-01
Theft of Bicycle,2003,3,76,2003-03-01
Theft of Bicycle,2003,4,97,2003-04-01
Theft of Bicycle,2003,5,114,2003-05-01
Theft of Bicycle,2003,6,154,2003-06-01
Theft of Bicycle,2003,7,191,2003-07-01
Theft of Bicycle,2003,8,192,2003-08-01
Theft of Bicycle,2003,9,158,2003-09-01
Theft of Bicycle,2003,10,145,2003-10-01
Theft of Bicycle,2003,11,74,2003-11-01
Theft of Bicycle,2003,12,51,2003-12-01
Theft of Bicycle,2004,1,42,2004-01-01
Theft of Bicycle,2004,2,57,2004-02-01
Theft of Bicycle,2004,3,100,2004-03-01
Theft of Bicycle,2004,4,93,2004-04-01
Theft of Bicycle,2004,5,109,2004-05-01
Theft of Bicycle,2004,6,124,2004-06-01
Theft of Bicycle,2004,7,198,2004-07-01
Theft of Bicycle,2004,8,155,2004-08-01
Theft of Bicycle,2004,9,130,2004-09-01
Theft of Bicycle,2004,10,107,2004-10-01
Theft of Bicycle,2004,11,71,2004-11-01
Theft of Bicycle,2004,12,44,2004-12-01
Theft of Bicycle,2005,1,51,2005-01-01
Theft of Bicycle,2005,2,53,2005-02-01
Theft of Bicycle,2005,3,83,2005-03-01
Theft of Bicycle,2005,4,75,2005-04-01
Theft of Bicycle,2005,5,133,2005-05-01
Theft of Bicycle,2005,6,153,2005-06-01
Theft of Bicycle,2005,7,162,2005-07-01
Theft of Bicycle,2005,8,197,2005-08-01
Theft of Bicycle,2005,9,180,2005-09-01
Theft of Bicycle,2005,10,159,2005-10-01
Theft of Bicycle,2005,11,106,2005-11-01
Theft of Bicycle,2005,12,64,2005-12-01
Theft of Bicycle,2006,1,66,2006-01-01
Theft of Bicycle,2006,2,82,2006-02-01
Theft of Bicycle,2006,3,93,2006-03-01
Theft of Bicycle,2006,4,79,2006-04-01
Theft of Bicycle,2006,5,103,2006-05-01
Theft of Bicycle,2006,6,197,2006-06-01
Theft of Bicycle,2006,7,242,2006-07-01
Theft of Bicycle,2006,8,222,2006-08-01
Theft of Bicycle,2006,9,134,2006-09-01
Theft of Bicycle,2006,10,128,2006-10-01
Theft of Bicycle,2006,11,67,2006-11-01
Theft of Bicycle,2006,12,54,2006-12-01
Theft of Bicycle,2007,1,57,2007-01-01
Theft of Bicycle,2007,2,56,2007-02-01
Theft of Bicycle,2007,3,71,2007-03-01
Theft of Bicycle,2007,4,82,2007-04-01
Theft of Bicycle,2007,5,108,2007-05-01
Theft of Bicycle,2007,6,137,2007-06-01
Theft of Bicycle,2007,7,169,2007-07-01
Theft of Bicycle,2007,8,197,2007-08-01
Theft of Bicycle,2007,9,130,2007-09-01
Theft of Bicycle,2007,10,105,2007-10-01
Theft of Bicycle,2007,11,46,2007-11-01
Theft of Bicycle,2007,12,45,2007-12-01
Theft of Bicycle,2008,1,44,2008-01-01
Theft of Bicycle,2008,2,46,2008-02-01
Theft of Bicycle,2008,3,61,2008-03-01
Theft of Bicycle,2008,4,79,2008-04-01
Theft of Bicycle,2008,5,134,2008-05-01
Theft of Bicycle,2008,6,119,2008-06-01
Theft of Bicycle,2008,7,178,2008-07-01
Theft of Bicycle,2008,8,155,2008-08-01
Theft of Bicycle,2008,9,159,2008-09-01
Theft of Bicycle,2008,10,119,2008-10-01
Theft of Bicycle,2008,11,56,2008-11-01
Theft of Bicycle,2008,12,26,2008-12-01
Theft of Bicycle,2009,1,29,2009-01-01
Theft of Bicycle,2009,2,52,2009-02-01
Theft of Bicycle,2009,3,43,2009-03-01
Theft of Bicycle,2009,4,127,2009-04-01
Theft of Bicycle,2009,5,186,2009-05-01
Theft of Bicycle,2009,6,167,2009-06-01
Theft of Bicycle,2009,7,285,2009-07-01
Theft of Bicycle,2009,8,310,2009-08-01
Theft of Bicycle,2009,9,183,2009-09-01
Theft of Bicycle,2009,10,110,2009-10-01
Theft of Bicycle,2009,11,88,2009-11-01
Theft of Bicycle,2009,12,61,2009-12-01
Theft of Bicycle,2010,1,52,2010-01-01
Theft of Bicycle,2010,2,68,2010-02-01
Theft of Bicycle,2010,3,89,2010-03-01
Theft of Bicycle,2010,4,128,2010-04-01
Theft of Bicycle,2010,5,143,2010-05-01
Theft of Bicycle,2010,6,139,2010-06-01
Theft of Bicycle,2010,7,231,2010-07-01
Theft of Bicycle,2010,8,304,2010-08-01
Theft of Bicycle,2010,9,222,2010-09-01
Theft of Bicycle,2010,10,169,2010-10-01
Theft of Bicycle,2010,11,77,2010-11-01
Theft of Bicycle,2010,12,47,2010-12-01
Theft of Bicycle,2011,1,39,2011-01-01
Theft of Bicycle,2011,2,47,2011-02-01
Theft of Bicycle,2011,3,58,2011-03-01
Theft of Bicycle,2011,4,84,2011-04-01
Theft of Bicycle,2011,5,99,2011-05-01
Theft of Bicycle,2011,6,175,2011-06-01
Theft of Bicycle,2011,7,297,2011-07-01
Theft of Bicycle,2011,8,249,2011-08-01
Theft of Bicycle,2011,9,171,2011-09-01
Theft of Bicycle,2011,10,142,2011-10-01
Theft of Bicycle,2011,11,93,2011-11-01
Theft of Bicycle,2011,12,63,2011-12-01
Theft of Bicycle,2012,1,76,2012-01-01
Theft of Bicycle,2012,2,93,2012-02-01
Theft of Bicycle,2012,3,91,2012-03-01
Theft of Bicycle,2012,4,111,2012-04-01
Theft of Bicycle,2012,5,174,2012-05-01
Theft of Bicycle,2012,6,170,2012-06-01
Theft of Bicycle,2012,7,251,2012-07-01
Theft of Bicycle,2012,8,290,2012-08-01
Theft of Bicycle,2012,9,237,2012-09-01
Theft of Bicycle,2012,10,181,2012-10-01
Theft of Bicycle,2012,11,79,2012-11-01
Theft of Bicycle,2012,12,64,2012-12-01
Theft of Bicycle,2013,1,69,2013-01-01
Theft of Bicycle,2013,2,70,2013-02-01
Theft of Bicycle,2013,3,135,2013-03-01
Theft of Bicycle,2013,4,153,2013-04-01
Theft of Bicycle,2013,5,182,2013-05-01
Theft of Bicycle,2013,6,256,2013-06-01
Theft of Bicycle,2013,7,270,2013-07-01
Theft of Bicycle,2013,8,338,2013-08-01
Theft of Bicycle,2013,9,197,2013-09-01
Theft of Bicycle,2013,10,162,2013-10-01
Theft of Bicycle,2013,11,121,2013-11-01
Theft of Bicycle,2013,12,79,2013-12-01
Theft of Bicycle,2014,1,116,2014-01-01
Theft of Bicycle,2014,2,72,2014-02-01
Theft of Bicycle,2014,3,89,2014-03-01
Theft of Bicycle,2014,4,169,2014-04-01
Theft of Bicycle,2014,5,218,2014-05-01
Theft of Bicycle,2014,6,296,2014-06-01
Theft of Bicycle,2014,7,415,2014-07-01
Theft of Bicycle,2014,8,347,2014-08-01
Theft of Bicycle,2014,9,309,2014-09-01
Theft of Bicycle,2014,10,226,2014-10-01
Theft of Bicycle,2014,11,124,2014-11-01
Theft of Bicycle,2014,12,80,2014-12-01
Theft of Bicycle,2015,1,87,2015-01-01
Theft of Bicycle,2015,2,90,2015-02-01
Theft of Bicycle,2015,3,126,2015-03-01
Theft of Bicycle,2015,4,187,2015-04-01
Theft of Bicycle,2015,5,282,2015-05-01
Theft of Bicycle,2015,6,411,2015-06-01
Theft of Bicycle,2015,7,521,2015-07-01
Theft of Bicycle,2015,8,437,2015-08-01
Theft of Bicycle,2015,9,340,2015-09-01
Theft of Bicycle,2015,10,306,2015-10-01
Theft of Bicycle,2015,11,156,2015-11-01
Theft of Bicycle,2015,12,121,2015-12-01
Theft of Bicycle,2016,1,108,2016-01-01
Theft of Bicycle,2016,2,107,2016-02-01
Theft of Bicycle,2016,3,140,2016-03-01
