,TYPE,YEAR,MONTH,Observations,YEAR-MONTH
1121,Offence Against a Person,2018,11,250,2018-11-01
1122,Offence Against a Person,2018,12,268,2018-12-01
1123,Offence Against a Person,2019,1,246,2019-01-01
1124,Offence Against a Person,2019,2,225,2019-02-01
1125,Offence Against a Person,2019,3,286,2019-03-01
1126,Offence Against a Person,2019,4,261,2019-04-01
1127,Offence Against a Person,2019,5,301,2019-05-01
1128,Offence Against a Person,2019,6,302,2019-06-01
1129,Offence Against a Person,2019,7,337,2019-07-01
1130,Offence Against a Person,2019,8,384,2019-08-01
1131,Offence Against a Person,2019,9,315,2019-09-01
1132,Offence Against a Person,2019,10,276,2019-10-01
1133,Offence Against a Person,2019,11,264,2019-11-01
1134,Offence Against a Person,2019,12,266,2019-12-01
1135,Offence Against a Person,2020,1,309,2020-01-01
1136,Offence Against a Person,2020,2,263,2020-02-01
1137,Offence Against a Person,2020,3,317,2020-03-01
1138,Offence Against a Person,2020,4,291,2020-04-01
1139,Offence Against a Person,2020,5,318,2020-05-01
1140,Offence Against a Person,2020,6,322,2020-06-01
1141,Offence Against a Person,2020,7,340,2020-07-01
1142,Offence Against a Person,2020,8,357,2020-08-01
1143,Offence Against a Person,2020,9,364,2020-09-01
1144,Offence Against a Person,2020,10,293,2020-10-01
1145,Offence Against a Person,2020,11,288,2020-11-01
1146,Offence Against a Person,2020,12,295,2020-12-01
1147,Offence Against a Person,2021,1,288,2021-01-01
1148,Offence Against a Person,2021,2,268,2021-02-01
1149,Offence Against a Person,2021,3,326,2021-03-01
1150,Offence Against a Person,2021,4,304,2021-04-01
1151,Offence Against a Person,2021,5,321,2021-05-01
1152,Offence Against a Person,2021,6,284,2021-06-01
1153,Offence Against a Person,2021,7,367,2021-07-01
1154,Offence Against a Person,2021,8,345,2021-08-01
1155,Offence Against a Person,2021,9,340,2021-09-01
1156,Offence Against a Person,2021,10,327,2021-10-01
1157,Offence Against a Person,2021,11,320,2021-11-01
1158,Offence Against a Person,2021,12,275,2021-12-01
1159,Offence Against a Person,2022,1,325,2022-01-01
1160,Offence Against a Person,2022,2,273,2022-02-01
1161,Offence Against a Person,2022,3,274,2022-03-01
1162,Offence Against a Person,2022,4,289,2022-04-01
1163,Offence Against a Person,2022,5,335,2022-05-01
1164,Offence Against a Person,2022,6,344,2022-06-01
1165,Offence Against a Person,2022,7,432,2022-07-01
1166,Offence Against a Person,2022,8,359,2022-08-01
1167,Offence Against a Person,2022,9,377,2022-09-01
1168,Offence Against a Person,2022,10,329,2022-10-01
1169,Offence Against a Person,2022,11,280,2022-11-01
1170,Offence Against a Person,2022,12,301,2022-12-01
1171,Offence Against a Person,2023,1,304,2023-01-01
1172,Offence Against a Person,2023,2,280,2023-02-01
1173,Offence Against a Person,2023,3,290,2023-03-01
1174,Offence Against a Person,2023,4,306,2023-04-01
1175,Offence Against a Person,2023,5,345,2023-05-01
1176,Offence Against a Person,2023,6,368,2023-06-01
1177,Offence Against a Person,2023,7,369,2023-07-01
1178,Offence Against a Person,2023,8,370,2023-08-01
1179,Offence Against a Person,2023,9,365,2023-09-01
1180,Offence Against a Person,2023,10,291,2023-10-01
1182,Other Theft,2003,1,879,2003-01-01
1183,Other Theft,2003,2,913,2003-02-01
1184,Other Theft,2003,3,936,2003-03-01
1185,Other Theft,2003,4,910,2003-04-01
1186,Other Theft,2003,5,1010,2003-05-01
1187,Other Theft,2003,6,1052,2003-06-01
1188,Other Theft,2003,7,1025,2003-07-01
1189,Other Theft,2003,8,1037,2003-08-01
1190,Other Theft,2003,9,879,2003-09-01
1191,Other Theft,2003,10,953,2003-10-01
1192,Other Theft,2003,11,955,2003-11-01
1193,Other Theft,2003,12,877,2003-12-01
1194,Other Theft,2004,1,949,2004-01-01
1195,Other Theft,2004,2,868,2004-02-01
1196,Other Theft,2004,3,901,2004-03-01
1197,Other Theft,2004,4,956,2004-04-01
1198,Other Theft,2004,5,927,2004-05-01
1199,Other Theft,2004,6,898,2004-06-01
1200,Other Theft,2004,7,1005,2004-07-01
1201,Other Theft,2004,8,1086,2004-08-01
1202,Other Theft,2004,9,930,2004-09-01
1203,Other Theft,2004,10,1017,2004-10-01
1204,Other Theft,2004,11,939,2004-11-01
1205,Other Theft,2004,12,962,2004-12-01
1206,Other Theft,2005,1,849,2005-01-01
1207,Other Theft,2005,2,897,2005-02-01
1208,Other Theft,2005,3,993,2005-03-01
1209,Other Theft,2005,4,967,2005-04-01
1210,Other Theft,2005,5,981,2005-05-01
1211,Other Theft,2005,6,973,2005-06-01
1212,Other Theft,2005,7,1008,2005-07-01
1213,Other Theft,2005,8,1030,2005-08-01
1214,Other Theft,2005,9,979,2005-09-01
1215,Other Theft,2005,10,1012,2005-10-01
1216,Other Theft,2005,11,830,2005-11-01
1217,Other Theft,2005,12,838,2005-12-01
1218,Other Theft,2006,1,855,2006-01-01
1219,Other Theft,2006,2,886,2006-02-01
1220,Other Theft,2006,3,978,2006-03-01
1221,Other Theft,2006,4,794,2006-04-01
1222,Other Theft,2006,5,874,2006-05-01
1223,Other Theft,2006,6,918,2006-06-01
1224,Other Theft,2006,7,968,2006-07-01
1225,Other Theft,2006,8,933,2006-08-01
1226,Other Theft,2006,9,856,2006-09-01
1227,Other Theft,2006,10,756,2006-10-01
1228,Other Theft,2006,11,734,2006-11-01
1229,Other Theft,2006,12,748,2006-12-01
1230,Other Theft,2007,1,793,2007-01-01
1231,Other Theft,2007,2,764,2007-02-01
1232,Other Theft,2007,3,815,2007-03-01
1233,Other Theft,2007,4,806,2007-04-01
1234,Other Theft,2007,5,805,2007-05-01
1235,Other Theft,2007,6,808,2007-06-01
1236,Other Theft,2007,7,852,2007-07-01
1237,Other Theft,2007,8,980,2007-08-01
1238,Other Theft,2007,9,858,2007-09-01
1239,Other Theft,2007,10,826,2007-10-01
1240,Other Theft,2007,11,695,2007-11-01
1241,Other Theft,2007,12,721,2007-12-01
1242,Other Theft,2008,1,779,2008-01-01
1243,Other Theft,2008,2,724,2008-02-01
1244,Other Theft,2008,3,770,2008-03-01
1245,Other Theft,2008,4,768,2008-04-01
1246,Other Theft,2008,5,840,2008-05-01
1247,Other Theft,2008,6,826,2008-06-01
1248,Other Theft,2008,7,797,2008-07-01
1249,Other Theft,2008,8,869,2008-08-01
1250,Other Theft,2008,9,859,2008-09-01
1251,Other Theft,2008,10,815,2008-10-01
1252,Other Theft,2008,11,727,2008-11-01
1253,Other Theft,2008,12,689,2008-12-01
1254,Other Theft,2009,1,723,2009-01-01
1255,Other Theft,2009,2,760,2009-02-01
1256,Other Theft,2009,3,873,2009-03-01
1257,Other Theft,2009,4,790,2009-04-01
1258,Other Theft,2009,5,795,2009-05-01
1259,Other Theft,2009,6,827,2009-06-01
1260,Other Theft,2009,7,804,2009-07-01
1261,Other Theft,2009,8,839,2009-08-01
1262,Other Theft,2009,9,773,2009-09-01
1263,Other Theft,2009,10,807,2009-10-01
1264,Other Theft,2009,11,741,2009-11-01
1265,Other Theft,2009,12,737,2009-12-01
1266,Other Theft,2010,1,775,2010-01-01
1267,Other Theft,2010,2,860,2010-02-01
1268,Other Theft,2010,3,861,2010-03-01
1269,Other Theft,2010,4,795,2010-04-01
1270,Other Theft,2010,5,801,2010-05-01
1271,Other Theft,2010,6,792,2010-06-01
1272,Other Theft,2010,7,844,2010-07-01
1273,Other Theft,2010,8,838,2010-08-01
1274,Other Theft,2010,9,753,2010-09-01
1275,Other Theft,2010,10,712,2010-10-01
1276,Other Theft,2010,11,651,2010-11-01
1277,Other Theft,2010,12,684,2010-12-01
1278,Other Theft,2011,1,734,2011-01-01
1279,Other Theft,2011,2,668,2011-02-01
1280,Other Theft,2011,3,796,2011-03-01
1281,Other Theft,2011,4,770,2011-04-01
1282,Other Theft,2011,5,781,2011-05-01
1283,Other Theft,2011,6,870,2011-06-01
1284,Other Theft,2011,7,825,2011-07-01
1285,Other Theft,2011,8,858,2011-08-01
1286,Other Theft,2011,9,754,2011-09-01
1287,Other Theft,2011,10,744,2011-10-01
1288,Other Theft,2011,11,825,2011-11-01
1289,Other Theft,2011,12,764,2011-12-01
1290,Other Theft,2012,1,777,2012-01-01
1291,Other Theft,2012,2,761,2012-02-01
1292,Other Theft,2012,3,782,2012-03-01
1293,Other Theft,2012,4,811,2012-04-01
1294,Other Theft,2012,5,866,2012-05-01
1295,Other Theft,2012,6,930,2012-06-01
1296,Other Theft,2012,7,845,2012-07-01
1297,Other Theft,2012,8,861,2012-08-01
1298,Other Theft,2012,9,860,2012-09-01
1299,Other Theft,2012,10,831,2012-10-01
1300,Other Theft,2012,11,880,2012-11-01
1301,Other Theft,2012,12,756,2012-12-01
1302,Other Theft,2013,1,836,2013-01-01
1303,Other Theft,2013,2,729,2013-02-01
1304,Other Theft,2013,3,857,2013-03-01
1305,Other Theft,2013,4,762,2013-04-01
1306,Other Theft,2013,5,938,2013-05-01
1307,Other Theft,2013,6,993,2013-06-01
1308,Other Theft,2013,7,920,2013-07-01
1309,Other Theft,2013,8,909,2013-08-01
1310,Other Theft,2013,9,846,2013-09-01
1311,Other Theft,2013,10,855,2013-10-01
1312,Other Theft,2013,11,785,2013-11-01
1313,Other Theft,2013,12,834,2013-12-01
1314,Other Theft,2014,1,838,2014-01-01
1315,Other Theft,2014,2,794,2014-02-01
1316,Other Theft,2014,3,911,2014-03-01
1317,Other Theft,2014,4,810,2014-04-01
1318,Other Theft,2014,5,981,2014-05-01
1319,Other Theft,2014,6,933,2014-06-01
1320,Other Theft,2014,7,930,2014-07-01
1321,Other Theft,2014,8,1044,2014-08-01
1322,Other Theft,2014,9,922,2014-09-01
1323,Other Theft,2014,10,917,2014-10-01
1324,Other Theft,2014,11,900,2014-11-01
1325,Other Theft,2014,12,814,2014-12-01
1326,Other Theft,2015,1,857,2015-01-01
1327,Other Theft,2015,2,826,2015-02-01
1328,Other Theft,2015,3,889,2015-03-01
1329,Other Theft,2015,4,847,2015-04-01
1330,Other Theft,2015,5,893,2015-05-01
1331,Other Theft,2015,6,877,2015-06-01
1332,Other Theft,2015,7,944,2015-07-01
1333,Other Theft,2015,8,942,2015-08-01
1334,Other Theft,2015,9,862,2015-09-01
1335,Other Theft,2015,10,934,2015-10-01
1336,Other Theft,2015,11,875,2015-11-01
1337,Other Theft,2015,12,852,2015-12-01
1338,Other Theft,2016,1,985,2016-01-01
1339,Other Theft,2016,2,910,2016-02-01
1340,Other Theft,2016,3,1047,2016-03-01
1341,Other Theft,2016,4,1010,2016-04-01
1342,Other Theft,2016,5,1045,2016-05-01
1343,Other Theft,2016,6,1049,2016-06-01
1344,Other Theft,2016,7,1073,2016-07-01
1345,Other Theft,2016,8,1108,2016-08-01
1346,Other Theft,2016,9,977,2016-09-01
1347,Other Theft,2016,10,1085,2016-10-01
1348,Other Theft,2016,11,877,2016-11-01
1349,Other Theft,2016,12,813,2016-12-01
1350,Other Theft,2017,1,815,2017-01-01
1351,Other Theft,2017,2,902,2017-02-01
1352,Other Theft,2017,3,994,2017-03-01
1353,Other Theft,2017,4,984,2017-04-01
1354,Other Theft,2017,5,1009,2017-05-01
1355,Other Theft,2017,6,1038,2017-06-01
1356,Other Theft,2017,7,1088,2017-07-01
1357,Other Theft,2017,8,985,2017-08-01
1358,Other Theft,2017,9,1039,2017-09-01
1359,Other Theft,2017,10,967,2017-10-01
1360,Other Theft,2017,11,988,2017-11-01
1361,Other Theft,2017,12,1000,2017-12-01
1362,Other Theft,2018,1,1021,2018-01-01
1363,Other Theft,2018,2,842,2018-02-01
1364,Other Theft,2018,3,1015,2018-03-01
1365,Other Theft,2018,4,988,2018-04-01
1366,Other Theft,2018,5,951,2018-05-01
1367,Other Theft,2018,6,961,2018-06-01
1368,Other Theft,2018,7,953,2018-07-01
1369,Other Theft,2018,8,1000,2018-08-01
1370,Other Theft,2018,9,921,2018-09-01
1371,Other Theft,2018,10,914,2018-10-01
1372,Other Theft,2018,11,843,2018-11-01
1373,Other Theft,2018,12,842,2018-12-01
1374,Other Theft,2019,1,935,2019-01-01
1375,Other Theft,2019,2,884,2019-02-01
1376,Other Theft,2019,3,1046,2019-03-01
1377,Other Theft,2019,4,1029,2019-04-01
1378,Other Theft,2019,5,1044,2019-05-01
1379,Other Theft,2019,6,992,2019-06-01
1380,Other Theft,2019,7,1056,2019-07-01
1381,Other Theft,2019,8,1133,2019-08-01
1382,Other Theft,2019,9,1021,2019-09-01
1383,Other Theft,2019,10,1090,2019-10-01
1384,Other Theft,2019,11,1062,2019-11-01
1385,Other Theft,2019,12,1030,2019-12-01
1386,Other Theft,2020,1,1030,2020-01-01
1387,Other Theft,2020,2,1030,2020-02-01
1388,Other Theft,2020,3,875,2020-03-01
1389,Other Theft,2020,4,529,2020-04-01
1390,Other Theft,2020,5,420,2020-05-01
1391,Other Theft,2020,6,527,2020-06-01
1392,Other Theft,2020,7,673,2020-07-01
1393,Other Theft,2020,8,722,2020-08-01
1394,Other Theft,2020,9,651,2020-09-01
1395,Other Theft,2020,10,787,2020-10-01
1396,Other Theft,2020,11,713,2020-11-01
1397,Other Theft,2020,12,690,2020-12-01
1398,Other Theft,2021,1,756,2021-01-01
1399,Other Theft,2021,2,643,2021-02-01
1400,Other Theft,2021,3,598,2021-03-01
1401,Other Theft,2021,4,596,2021-04-01
1402,Other Theft,2021,5,649,2021-05-01
1403,Other Theft,2021,6,678,2021-06-01
1404,Other Theft,2021,7,775,2021-07-01
1405,Other Theft,2021,8,785,2021-08-01
1406,Other Theft,2021,9,696,2021-09-01
1407,Other Theft,2021,10,727,2021-10-01
1408,Other Theft,2021,11,892,2021-11-01
1409,Other Theft,2021,12,788,2021-12-01
1410,Other Theft,2022,1,821,2022-01-01
1411,Other Theft,2022,2,778,2022-02-01
1412,Other Theft,2022,3,930,2022-03-01
1413,Other Theft,2022,4,960,2022-04-01
1414,Other Theft,2022,5,920,2022-05-01
1415,Other Theft,2022,6,858,2022-06-01
1416,Other Theft,2022,7,991,2022-07-01
1417,Other Theft,2022,8,995,2022-08-01
1418,Other Theft,2022,9,925,2022-09-01
1419,Other Theft,2022,10,930,2022-10-01
1420,Other Theft,2022,11,818,2022-11-01
1421,Other Theft,2022,12,827,2022-12-01
1422,Other Theft,2023,1,831,2023-01-01
1423,Other Theft,2023,2,1072,2023-02-01
1424,Other Theft,2023,3,1028,2023-03-01
1425,Other Theft,2023,4,953,2023-04-01
1426,Other Theft,2023,5,1115,2023-05-01
1427,Other Theft,2023,6,1242,2023-06-01
1428,Other Theft,2023,7,1160,2023-07-01
1429,Other Theft,2023,8,1154,2023-08-01
1430,Other Theft,2023,9,1116,2023-09-01
1431,Other Theft,2023,10,994,2023-10-01
1433,Theft from Vehicle,2003,1,1438,2003-01-01
1434,Theft from Vehicle,2003,2,1102,2003-02-01
1435,Theft from Vehicle,2003,3,1251,2003-03-01
1436,Theft from Vehicle,2003,4,1528,2003-04-01
1437,Theft from Vehicle,2003,5,1873,2003-05-01
1438,Theft from Vehicle,2003,6,1695,2003-06-01
1439,Theft from Vehicle,2003,7,1445,2003-07-01
1440,Theft from Vehicle,2003,8,1634,2003-08-01
1441,Theft from Vehicle,2003,9,1470,2003-09-01
1442,Theft from Vehicle,2003,10,1554,2003-10-01
1443,Theft from Vehicle,2003,11,1332,2003-11-01
1444,Theft from Vehicle,2003,12,1422,2003-12-01
1445,Theft from Vehicle,2004,1,1319,2004-01-01
1446,Theft from Vehicle,2004,2,1276,2004-02-01
1447,Theft from Vehicle,2004,3,1523,2004-03-01
1448,Theft from Vehicle,2004,4,1558,2004-04-01
1449,Theft from Vehicle,2004,5,1494,2004-05-01
1450,Theft from Vehicle,2004,6,1335,2004-06-01
1451,Theft from Vehicle,2004,7,1426,2004-07-01
1452,Theft from Vehicle,2004,8,1677,2004-08-01
1453,Theft from Vehicle,2004,9,1743,2004-09-01
1454,Theft from Vehicle,2004,10,1650,2004-10-01
1455,Theft from Vehicle,2004,11,1689,2004-11-01
1456,Theft from Vehicle,2004,12,1512,2004-12-01
1457,Theft from Vehicle,2005,1,1516,2005-01-01
1458,Theft from Vehicle,2005,2,1305,2005-02-01
1459,Theft from Vehicle,2005,3,1408,2005-03-01
1460,Theft from Vehicle,2005,4,1563,2005-04-01
1461,Theft from Vehicle,2005,5,1530,2005-05-01
1462,Theft from Vehicle,2005,6,1426,2005-06-01
1463,Theft from Vehicle,2005,7,1323,2005-07-01
1464,Theft from Vehicle,2005,8,1362,2005-08-01
1465,Theft from Vehicle,2005,9,1316,2005-09-01
1466,Theft from Vehicle,2005,10,1261,2005-10-01
1467,Theft from Vehicle,2005,11,1271,2005-11-01
1468,Theft from Vehicle,2005,12,1272,2005-12-01
1469,Theft from Vehicle,2006,1,1492,2006-01-01
1470,Theft from Vehicle,2006,2,1125,2006-02-01
1471,Theft from Vehicle,2006,3,1326,2006-03-01
1472,Theft from Vehicle,2006,4,1006,2006-04-01
1473,Theft from Vehicle,2006,5,1197,2006-05-01
1474,Theft from Vehicle,2006,6,1239,2006-06-01
1475,Theft from Vehicle,2006,7,1206,2006-07-01
1476,Theft from Vehicle,2006,8,1227,2006-08-01
1477,Theft from Vehicle,2006,9,1178,2006-09-01
1478,Theft from Vehicle,2006,10,1116,2006-10-01
1479,Theft from Vehicle,2006,11,1313,2006-11-01
1480,Theft from Vehicle,2006,12,1305,2006-12-01
1481,Theft from Vehicle,2007,1,1307,2007-01-01
1482,Theft from Vehicle,2007,2,966,2007-02-01
1483,Theft from Vehicle,2007,3,1048,2007-03-01
1484,Theft from Vehicle,2007,4,1048,2007-04-01
1485,Theft from Vehicle,2007,5,1037,2007-05-01
1486,Theft from Vehicle,2007,6,950,2007-06-01
1487,Theft from Vehicle,2007,7,933,2007-07-01
1488,Theft from Vehicle,2007,8,1107,2007-08-01
1489,Theft from Vehicle,2007,9,1078,2007-09-01
1490,Theft from Vehicle,2007,10,1025,2007-10-01
1491,Theft from Vehicle,2007,11,911,2007-11-01
1492,Theft from Vehicle,2007,12,817,2007-12-01
1493,Theft from Vehicle,2008,1,781,2008-01-01
1494,Theft from Vehicle,2008,2,867,2008-02-01
1495,Theft from Vehicle,2008,3,1061,2008-03-01
1496,Theft from Vehicle,2008,4,888,2008-04-01
1497,Theft from Vehicle,2008,5,919,2008-05-01
1498,Theft from Vehicle,2008,6,1017,2008-06-01
1499,Theft from Vehicle,2008,7,875,2008-07-01
1500,Theft from Vehicle,2008,8,943,2008-08-01
1501,Theft from Vehicle,2008,9,1000,2008-09-01
1502,Theft from Vehicle,2008,10,1016,2008-10-01
1503,Theft from Vehicle,2008,11,972,2008-11-01
1504,Theft from Vehicle,2008,12,956,2008-12-01
1505,Theft from Vehicle,2009,1,897,2009-01-01
1506,Theft from Vehicle,2009,2,972,2009-02-01
1507,Theft from Vehicle,2009,3,842,2009-03-01
1508,Theft from Vehicle,2009,4,747,2009-04-01
1509,Theft from Vehicle,2009,5,817,2009-05-01
1510,Theft from Vehicle,2009,6,803,2009-06-01
1511,Theft from Vehicle,2009,7,799,2009-07-01
1512,Theft from Vehicle,2009,8,871,2009-08-01
1513,Theft from Vehicle,2009,9,927,2009-09-01
1514,Theft from Vehicle,2009,10,806,2009-10-01
1515,Theft from Vehicle,2009,11,831,2009-11-01
1516,Theft from Vehicle,2009,12,696,2009-12-01
1517,Theft from Vehicle,2010,1,709,2010-01-01
1518,Theft from Vehicle,2010,2,627,2010-02-01
1519,Theft from Vehicle,2010,3,714,2010-03-01
1520,Theft from Vehicle,2010,4,599,2010-04-01
1521,Theft from Vehicle,2010,5,677,2010-05-01
1522,Theft from Vehicle,2010,6,675,2010-06-01
1523,Theft from Vehicle,2010,7,685,2010-07-01
1524,Theft from Vehicle,2010,8,793,2010-08-01
1525,Theft from Vehicle,2010,9,833,2010-09-01
1526,Theft from Vehicle,2010,10,915,2010-10-01
1527,Theft from Vehicle,2010,11,725,2010-11-01
1528,Theft from Vehicle,2010,12,662,2010-12-01
1529,Theft from Vehicle,2011,1,628,2011-01-01
1530,Theft from Vehicle,2011,2,680,2011-02-01
1531,Theft from Vehicle,2011,3,605,2011-03-01
1532,Theft from Vehicle,2011,4,510,2011-04-01
1533,Theft from Vehicle,2011,5,608,2011-05-01
1534,Theft from Vehicle,2011,6,520,2011-06-01
1535,Theft from Vehicle,2011,7,749,2011-07-01
1536,Theft from Vehicle,2011,8,678,2011-08-01
1537,Theft from Vehicle,2011,9,671,2011-09-01
1538,Theft from Vehicle,2011,10,589,2011-10-01
1539,Theft from Vehicle,2011,11,568,2011-11-01
1540,Theft from Vehicle,2011,12,628,2011-12-01
1541,Theft from Vehicle,2012,1,665,2012-01-01
1542,Theft from Vehicle,2012,2,661,2012-02-01
1543,Theft from Vehicle,2012,3,733,2012-03-01
1544,Theft from Vehicle,2012,4,758,2012-04-01
1545,Theft from Vehicle,2012,5,597,2012-05-01
1546,Theft from Vehicle,2012,6,627,2012-06-01
1547,Theft from Vehicle,2012,7,599,2012-07-01
1548,Theft from Vehicle,2012,8,736,2012-08-01
1549,Theft from Vehicle,2012,9,638,2012-09-01
1550,Theft from Vehicle,2012,10,639,2012-10-01
1551,Theft from Vehicle,2012,11,802,2012-11-01
1552,Theft from Vehicle,2012,12,641,2012-12-01
1553,Theft from Vehicle,2013,1,516,2013-01-01
1554,Theft from Vehicle,2013,2,496,2013-02-01
1555,Theft from Vehicle,2013,3,641,2013-03-01
1556,Theft from Vehicle,2013,4,720,2013-04-01
1557,Theft from Vehicle,2013,5,754,2013-05-01
1558,Theft from Vehicle,2013,6,667,2013-06-01
1559,Theft from Vehicle,2013,7,677,2013-07-01
1560,Theft from Vehicle,2013,8,683,2013-08-01
1561,Theft from Vehicle,2013,9,668,2013-09-01
1562,Theft from Vehicle,2013,10,813,2013-10-01
1563,Theft from Vehicle,2013,11,891,2013-11-01
1564,Theft from Vehicle,2013,12,807,2013-12-01
1565,Theft from Vehicle,2014,1,718,2014-01-01
1566,Theft from Vehicle,2014,2,603,2014-02-01
1567,Theft from Vehicle,2014,3,682,2014-03-01
1568,Theft from Vehicle,2014,4,664,2014-04-01
1569,Theft from Vehicle,2014,5,859,2014-05-01
1570,Theft from Vehicle,2014,6,845,2014-06-01
1571,Theft from Vehicle,2014,7,1016,2014-07-01
1572,Theft from Vehicle,2014,8,1103,2014-08-01
1573,Theft from Vehicle,2014,9,1042,2014-09-01
1574,Theft from Vehicle,2014,10,963,2014-10-01
1575,Theft from Vehicle,2014,11,822,2014-11-01
1576,Theft from Vehicle,2014,12,823,2014-12-01
1577,Theft from Vehicle,2015,1,861,2015-01-01
1578,Theft from Vehicle,2015,2,723,2015-02-01
1579,Theft from Vehicle,2015,3,705,2015-03-01
1580,Theft from Vehicle,2015,4,780,2015-04-01
1581,Theft from Vehicle,2015,5,773,2015-05-01
1582,Theft from Vehicle,2015,6,718,2015-06-01
1583,Theft from Vehicle,2015,7,912,2015-07-01
1584,Theft from Vehicle,2015,8,822,2015-08-01
1585,Theft from Vehicle,2015,9,853,2015-09-01
1586,Theft from Vehicle,2015,10,1033,2015-10-01
1587,Theft from Vehicle,2015,11,1215,2015-11-01
1588,Theft from Vehicle,2015,12,1151,2015-12-01
1589,Theft from Vehicle,2016,1,1264,2016-01-01
1590,Theft from Vehicle,2016,2,1017,2016-02-01
1591,Theft from Vehicle,2016,3,1143,2016-03-01
1592,Theft from Vehicle,2016,4,1062,2016-04-01
1593,Theft from Vehicle,2016,5,1183,2016-05-01
1594,Theft from Vehicle,2016,6,1090,2016-06-01
1595,Theft from Vehicle,2016,7,1156,2016-07-01
1596,Theft from Vehicle,2016,8,1003,2016-08-01
1597,Theft from Vehicle,2016,9,985,2016-09-01
1598,Theft from Vehicle,2016,10,1091,2016-10-01
1599,Theft from Vehicle,2016,11,943,2016-11-01
1600,Theft from Vehicle,2016,12,877,2016-12-01
1601,Theft from Vehicle,2017,1,841,2017-01-01
1602,Theft from Vehicle,2017,2,756,2017-02-01
1603,Theft from Vehicle,2017,3,990,2017-03-01
1604,Theft from Vehicle,2017,4,961,2017-04-01
1605,Theft from Vehicle,2017,5,992,2017-05-01
1606,Theft from Vehicle,2017,6,1058,2017-06-01
1607,Theft from Vehicle,2017,7,1098,2017-07-01
1608,Theft from Vehicle,2017,8,1209,2017-08-01
1609,Theft from Vehicle,2017,9,1186,2017-09-01
1610,Theft from Vehicle,2017,10,1313,2017-10-01
1611,Theft from Vehicle,2017,11,1300,2017-11-01
1612,Theft from Vehicle,2017,12,1253,2017-12-01
1613,Theft from Vehicle,2018,1,1359,2018-01-01
1614,Theft from Vehicle,2018,2,1112,2018-02-01
1615,Theft from Vehicle,2018,3,1137,2018-03-01
1616,Theft from Vehicle,2018,4,1261,2018-04-01
1617,Theft from Vehicle,2018,5,1151,2018-05-01
1618,Theft from Vehicle,2018,6,1174,2018-06-01
1619,Theft from Vehicle,2018,7,1079,2018-07-01
1620,Theft from Vehicle,2018,8,1250,2018-08-01
1621,Theft from Vehicle,2018,9,1291,2018-09-01
1622,Theft from Vehicle,2018,10,1262,2018-10-01
1623,Theft from Vehicle,2018,11,1396,2018-11-01
1624,Theft from Vehicle,2018,12,1524,2018-12-01
1625,Theft from Vehicle,2019,1,1544,2019-01-01
1626,Theft from Vehicle,2019,2,1115,2019-02-01
1627,Theft from Vehicle,2019,3,1282,2019-03-01
1628,Theft from Vehicle,2019,4,1321,2019-04-01
1629,Theft from Vehicle,2019,5,1454,2019-05-01
1630,Theft from Vehicle,2019,6,1306,2019-06-01
1631,Theft from Vehicle,2019,7,1506,2019-07-01
1632,Theft from Vehicle,2019,8,1536,2019-08-01
1633,Theft from Vehicle,2019,9,1626,2019-09-01
1634,Theft from Vehicle,2019,10,1642,2019-10-01
1635,Theft from Vehicle,2019,11,1405,2019-11-01
1636,Theft from Vehicle,2019,12,1269,2019-12-01
1637,Theft from Vehicle,2020,1,1350,2020-01-01
1638,Theft from Vehicle,2020,2,1263,2020-02-01
1639,Theft from Vehicle,2020,3,1164,2020-03-01
1640,Theft from Vehicle,2020,4,943,2020-04-01
1641,Theft from Vehicle,2020,5,556,2020-05-01
1642,Theft from Vehicle,2020,6,534,2020-06-01
1643,Theft from Vehicle,2020,7,687,2020-07-01
1644,Theft from Vehicle,2020,8,848,2020-08-01
1645,Theft from Vehicle,2020,9,844,2020-09-01
1646,Theft from Vehicle,2020,10,870,2020-10-01
1647,Theft from Vehicle,2020,11,685,2020-11-01
1648,Theft from Vehicle,2020,12,686,2020-12-01
1649,Theft from Vehicle,2021,1,711,2021-01-01
1650,Theft from Vehicle,2021,2,565,2021-02-01
1651,Theft from Vehicle,2021,3,546,2021-03-01
1652,Theft from Vehicle,2021,4,526,2021-04-01
1653,Theft from Vehicle,2021,5,602,2021-05-01
1654,Theft from Vehicle,2021,6,562,2021-06-01
1655,Theft from Vehicle,2021,7,691,2021-07-01
1656,Theft from Vehicle,2021,8,735,2021-08-01
1657,Theft from Vehicle,2021,9,716,2021-09-01
1658,Theft from Vehicle,2021,10,630,2021-10-01
1659,Theft from Vehicle,2021,11,633,2021-11-01
1660,Theft from Vehicle,2021,12,584,2021-12-01
1661,Theft from Vehicle,2022,1,593,2022-01-01
1662,Theft from Vehicle,2022,2,541,2022-02-01
1663,Theft from Vehicle,2022,3,697,2022-03-01
1664,Theft from Vehicle,2022,4,667,2022-04-01
1665,Theft from Vehicle,2022,5,602,2022-05-01
1666,Theft from Vehicle,2022,6,640,2022-06-01
1667,Theft from Vehicle,2022,7,574,2022-07-01
1668,Theft from Vehicle,2022,8,621,2022-08-01
1669,Theft from Vehicle,2022,9,680,2022-09-01
1670,Theft from Vehicle,2022,10,655,2022-10-01
1671,Theft from Vehicle,2022,11,497,2022-11-01
1672,Theft from Vehicle,2022,12,509,2022-12-01
1673,Theft from Vehicle,2023,1,644,2023-01-01
